Way ID,Node ID,Latitude,Longitude
693609372,6511974149,59.6400848,17.9287461
693609372,6511974157,59.6392265,17.9278622
693609373,6511974158,59.6406358,17.9278711
693609373,6511974159,59.6395337,17.926729
693609376,6511974191,59.6407243,17.9334707
693609376,6511974190,59.6407256,17.9351086
693609377,6511974195,59.6414891,17.9334747
693609377,6511974192,59.6414898,17.9351073
693609378,6511974196,59.6409672,17.9330232
693609378,6511974193,59.6409652,17.9351082
693609379,6511974197,59.6411049,17.9329486
693609379,6511974194,59.641106,17.9351054
693609380,6511974199,59.6422517,17.9334713
693609380,6511974198,59.6422513,17.9351073
693609381,6511974200,59.6421215,17.9293331
693609381,6511974201,59.6421237,17.9315536
693609382,6511974203,59.6425033,17.9296963
693609382,6511974202,59.642504,17.9310296
693609383,6511974205,59.6426327,17.9329427
693609383,6511974206,59.642634,17.9351051
693609384,6511974204,59.6424936,17.9330241
693609384,6511974207,59.642493,17.935104
693609385,6511974215,59.6418681,17.9329471
693609385,6511974209,59.6418707,17.9351057
693609386,6511974214,59.6417308,17.933031
693609386,6511974208,59.6417294,17.9351047
693609387,6511974217,59.6430134,17.9334712
693609387,6511974216,59.6430125,17.9351053
693609388,6511974219,59.6422794,17.9294825
693609388,6511974220,59.642279,17.9313834
693609389,10692944755,59.641692,17.9296805
693609389,6511974223,59.6416922,17.9313707
693609401,6511974285,59.6437741,17.925522
693609401,6511974284,59.6444152,17.9270428
693609402,6511974289,59.6447622,17.9226735
693609402,10692944753,59.6437019,17.9231091
693609402,6511974288,59.6436488,17.9231305
693609403,6511974304,59.6442354,17.9249823
693609403,11314051602,59.644333,17.925014
693609403,6511974290,59.6451209,17.9251788
693609406,12514202210,59.6433836,17.9262566
693609406,6511974295,59.6440546,17.9276249
693609407,6511974299,59.6454033,17.9232019
693609407,6511974298,59.6441441,17.9237393
774891183,4165279038,59.6497164,17.9265801
774891183,7229391082,59.6505482,17.9268462
774891184,7229391083,59.6496921,17.9246747
774891184,7229391084,59.6504454,17.9259679
774891185,4165279039,59.6497286,17.9274921
774891185,7229396085,59.6504843,17.9277285
774891186,1783497716,59.6497408,17.9282645
774891186,7229396086,59.6504196,17.9284555
774892803,4165354244,59.6552075,17.9438703
774892803,7229401919,59.6552199,17.9434524
774892803,9705526429,59.6552643,17.943305
774892803,7229401920,59.6556606,17.9419902
895134956,8320446994,59.6530529,17.937986
895134956,8320446995,59.6531896,17.939097
895134956,9705526426,59.6533812,17.9396154
895134956,9705526427,59.6534193,17.9397022
895134956,9705526428,59.6534685,17.939745
895134956,2003271962,59.6535474,17.9397076
895134957,8320446996,59.6531603,17.9379039
895134957,8320446997,59.6533872,17.93901
895134957,9705526421,59.6534572,17.9393754
895134957,9705526422,59.6534779,17.9394545
895134957,9705526423,59.6535095,17.9395344
895134957,9705526424,59.6535574,17.9396031
895134957,9705526425,59.6536114,17.939676
895134958,8320446998,59.6536482,17.9396578
895134958,8320446999,59.6534312,17.9378701
895134959,8320447000,59.6540876,17.9394409
895134959,8320447001,59.6538753,17.9374692
895134960,8320447002,59.6542922,17.9393399
895134960,8320447003,59.6539265,17.9374451
895134961,8320447004,59.6544469,17.9392636
895134961,8320447005,59.6542291,17.9373388
895134962,8320447006,59.6548214,17.9390787
895134962,8320447007,59.6545805,17.9371504
895134963,8320447008,59.6550427,17.9389695
895134963,8320447009,59.6546733,17.9371166
895134964,8320447010,59.6552417,17.9388712
895134964,8320447011,59.6549856,17.9367543
895134965,8320447012,59.6545615,17.939207
895134965,8320447013,59.654744,17.9406545
895134966,8320447014,59.6549251,17.9390275
895134966,8320447015,59.6551039,17.9404583
895134967,8320447016,59.6552843,17.9388502
895134967,8320477217,59.6554617,17.9402834
895134968,1783497704,59.6525826,17.944683
895134968,8320477218,59.6524977,17.9439985
895134968,10018748270,59.6525933,17.9436459
895134969,8320477219,59.6527477,17.9446006
895134969,8320477220,59.6531247,17.9433631
895134970,8320477221,59.6532616,17.9443443
895134970,8320477222,59.653602,17.9431901
895134971,8320477223,59.6537756,17.944088
895134971,8320477224,59.6541214,17.9429006
895134972,8320477225,59.6542907,17.9438311
895134972,8320477226,59.6546089,17.9427675
895134973,4165354234,59.6547874,17.9435833
