callsign,used_runway,runway_time,taxi_time,t_start,t_end
420,1,65.0,351.0,2024-10-22 16:13:17,2024-10-22 16:14:22
421,1,107.0,209.0,2024-10-22 16:11:10,2024-10-22 16:12:57
422,2,17.0,373.0,2024-10-22 16:04:02,2024-10-22 16:04:19
423,1,43.0,472.0,2024-10-22 16:47:51,2024-10-22 16:48:34
424,1,63.0,288.0,2024-10-22 16:14:59,2024-10-22 16:16:02
425,1,24.0,137.0,2024-10-22 16:17:20,2024-10-22 16:17:44
426,2,22.0,395.0,2024-10-22 16:12:34,2024-10-22 16:12:56
427,1,77.0,245.0,2024-10-22 16:22:04,2024-10-22 16:23:21
428,2,19.0,362.0,2024-10-22 16:17:31,2024-10-22 16:17:50
429,2,8.0,333.0,2024-10-22 16:29:02,2024-10-22 16:29:10
430,1,18.0,229.0,2024-10-22 16:37:20,2024-10-22 16:37:38
431,2,16.0,575.0,2024-10-22 16:31:10,2024-10-22 16:31:26
432,2,16.0,430.0,2024-10-22 16:32:52,2024-10-22 16:33:08
433,2,21.0,451.0,2024-10-22 16:34:46,2024-10-22 16:35:07
434,1,41.0,199.0,2024-10-22 16:42:36,2024-10-22 16:43:17
435,1,342.0,324.0,2024-10-22 16:48:58,2024-10-22 16:54:40
436,2,14.0,360.0,2024-10-22 16:38:27,2024-10-22 16:38:41
437,2,22.0,380.0,2024-10-22 16:40:18,2024-10-22 16:40:40
439,2,20.0,499.0,2024-10-22 16:43:32,2024-10-22 16:43:52
440,1,55.0,165.0,2024-10-22 16:49:59,2024-10-22 16:50:54
441,1,21.0,170.0,2024-10-22 16:52:18,2024-10-22 16:52:39
442,1,35.0,211.0,2024-10-22 16:58:31,2024-10-22 16:59:06
443,1,42.0,197.0,2024-10-22 17:00:06,2024-10-22 17:00:48
444,3,3.0,314.0,2024-10-22 16:52:58,2024-10-22 16:53:01
445,1,24.0,122.0,2024-10-22 17:11:36,2024-10-22 17:12:00
446,3,36.0,299.0,2024-10-22 17:05:21,2024-10-22 17:05:57
447,3,46.0,163.0,2024-10-22 17:08:00,2024-10-22 17:08:46
448,1,41.0,403.0,2024-10-22 17:22:44,2024-10-22 17:23:25
449,1,88.0,426.0,2024-10-22 17:24:19,2024-10-22 17:25:47
450,3,39.0,274.0,2024-10-22 17:12:18,2024-10-22 17:12:57
451,3,31.0,148.0,2024-10-22 17:14:35,2024-10-22 17:15:06
452,1,18.0,446.0,2024-10-22 17:27:11,2024-10-22 17:27:29
453,1,32.0,216.0,2024-10-22 17:28:47,2024-10-22 17:29:19
454,3,37.0,120.0,2024-10-22 17:21:39,2024-10-22 17:22:16
455,1,22.0,170.0,2024-10-22 17:35:39,2024-10-22 17:36:01
456,3,23.0,378.0,2024-10-22 17:29:37,2024-10-22 17:30:00
457,1,30.0,119.0,2024-10-22 17:37:24,2024-10-22 17:37:54
