callsign,used_runway,runway_time,t_start,t_end,active_operations
184,3,16.0,2024-10-25 09:20:28,2024-10-25 09:20:44,1
185,3,35.0,2024-10-25 09:24:13,2024-10-25 09:24:48,1
186,2,29.0,2024-10-25 09:34:54,2024-10-25 09:35:23,2
187,2,32.0,2024-10-25 09:39:43,2024-10-25 09:40:15,2
188,3,17.0,2024-10-25 09:30:07,2024-10-25 09:30:24,1
189,2,32.0,2024-10-25 09:41:57,2024-10-25 09:42:29,1
190,1,77.0,2024-10-25 09:38:27,2024-10-25 09:39:44,2
191,3,22.0,2024-10-25 09:32:01,2024-10-25 09:32:23,1
192,2,37.0,2024-10-25 09:42:59,2024-10-25 09:43:36,1
193,3,45.0,2024-10-25 09:34:31,2024-10-25 09:35:16,2
194,2,14.0,2024-10-25 09:45:13,2024-10-25 09:45:27,1
195,2,63.0,2024-10-25 09:47:07,2024-10-25 09:48:10,2
198,2,18.0,2024-10-25 09:51:22,2024-10-25 09:51:40,1
199,3,7.0,2024-10-25 09:43:42,2024-10-25 09:43:49,1
201,2,31.0,2024-10-25 10:40:50,2024-10-25 10:41:21,2
202,2,50.0,2024-10-25 09:56:40,2024-10-25 09:57:30,1
203,3,15.0,2024-10-25 09:47:16,2024-10-25 09:47:31,2
204,2,48.0,2024-10-25 09:55:06,2024-10-25 09:55:54,1
205,2,18.0,2024-10-25 10:00:37,2024-10-25 10:00:55,1
207,2,26.0,2024-10-25 10:01:31,2024-10-25 10:01:57,1
208,2,19.0,2024-10-25 10:08:05,2024-10-25 10:08:24,1
209,3,27.0,2024-10-25 09:58:25,2024-10-25 09:58:52,1
210,2,61.0,2024-10-25 10:15:05,2024-10-25 10:16:06,2
211,2,18.0,2024-10-25 10:13:44,2024-10-25 10:14:02,2
212,3,3018.0,2024-10-25 10:09:41,2024-10-25 10:59:59,24
213,2,116.0,2024-10-25 10:16:22,2024-10-25 10:18:18,2
214,3,12.0,2024-10-25 10:05:52,2024-10-25 10:06:04,1
215,2,30.0,2024-10-25 10:21:50,2024-10-25 10:22:20,3
216,2,119.0,2024-10-25 10:22:23,2024-10-25 10:24:22,2
217,2,33.0,2024-10-25 10:27:40,2024-10-25 10:28:13,2
218,2,122.0,2024-10-25 10:24:44,2024-10-25 10:26:46,2
219,2,73.0,2024-10-25 10:28:43,2024-10-25 10:29:56,2
220,2,43.0,2024-10-25 10:31:10,2024-10-25 10:31:53,2
221,3,7.0,2024-10-25 10:20:14,2024-10-25 10:20:21,2
222,3,18.0,2024-10-25 10:21:34,2024-10-25 10:21:52,3
224,3,13.0,2024-10-25 10:32:16,2024-10-25 10:32:29,2
225,2,33.0,2024-10-25 10:42:16,2024-10-25 10:42:49,3
226,3,39.0,2024-10-25 10:39:12,2024-10-25 10:39:51,2
227,3,17.0,2024-10-25 10:42:33,2024-10-25 10:42:50,3
228,3,14.0,2024-10-25 10:44:50,2024-10-25 10:45:04,2
229,2,46.0,2024-10-25 10:55:41,2024-10-25 10:56:27,3
230,3,43.0,2024-10-25 10:47:05,2024-10-25 10:47:48,2
231,2,40.0,2024-10-25 11:00:16,2024-10-25 11:00:56,2
232,3,33.0,2024-10-25 10:51:34,2024-10-25 10:52:07,2
233,3,14.0,2024-10-25 10:54:44,2024-10-25 10:54:58,2
234,2,32.0,2024-10-25 11:03:14,2024-10-25 11:03:46,1
235,3,34.0,2024-10-25 10:56:15,2024-10-25 10:56:49,3
236,3,13.0,2024-10-25 10:57:46,2024-10-25 10:57:59,2
237,3,20.0,2024-10-25 11:00:45,2024-10-25 11:01:05,2
238,2,37.0,2024-10-25 11:11:58,2024-10-25 11:12:35,1
239,3,34.0,2024-10-25 11:04:02,2024-10-25 11:04:36,1
240,2,1.0,2024-10-25 11:16:35,2024-10-25 11:16:36,1
241,3,15.0,2024-10-25 11:09:32,2024-10-25 11:09:47,1
242,3,35.0,2024-10-25 11:11:17,2024-10-25 11:11:52,1
243,2,5.0,2024-10-25 11:25:50,2024-10-25 11:25:55,1
244,3,25.0,2024-10-25 11:15:24,2024-10-25 11:15:49,1
245,3,11.0,2024-10-25 11:19:00,2024-10-25 11:19:11,1
246,3,22.0,2024-10-25 11:21:15,2024-10-25 11:21:37,1
247,3,25.0,2024-10-25 11:24:43,2024-10-25 11:25:08,1
248,3,22.0,2024-10-25 11:26:40,2024-10-25 11:27:02,1
249,2,27.0,2024-10-25 12:26:01,2024-10-25 12:26:28,1
250,3,7.0,2024-10-25 11:31:32,2024-10-25 11:31:39,1
251,2,31.0,2024-10-25 11:44:41,2024-10-25 11:45:12,2
252,2,65.0,2024-10-25 11:51:10,2024-10-25 11:52:15,1
253,2,66.0,2024-10-25 11:58:34,2024-10-25 11:59:40,1
254,3,42.0,2024-10-25 11:35:47,2024-10-25 11:36:29,1
255,3,24.0,2024-10-25 11:39:14,2024-10-25 11:39:38,1
256,3,28.0,2024-10-25 11:40:32,2024-10-25 11:41:00,1
257,3,24.0,2024-10-25 11:42:31,2024-10-25 11:42:55,1
258,2,19.0,2024-10-25 11:50:21,2024-10-25 11:50:40,1
259,3,23.0,2024-10-25 11:44:29,2024-10-25 11:44:52,2
260,3,19.0,2024-10-25 11:45:59,2024-10-25 11:46:18,1
261,2,27.0,2024-10-25 11:57:27,2024-10-25 11:57:54,1
262,2,18.0,2024-10-25 12:02:41,2024-10-25 12:02:59,1
263,3,38.0,2024-10-25 11:52:53,2024-10-25 11:53:31,1
264,3,12.0,2024-10-25 11:55:34,2024-10-25 11:55:46,1
265,2,37.0,2024-10-25 12:09:48,2024-10-25 12:10:25,2
266,3,24.0,2024-10-25 11:57:55,2024-10-25 11:58:19,1
267,2,7.0,2024-10-25 12:09:04,2024-10-25 12:09:11,1
268,2,13.0,2024-10-25 12:56:29,2024-10-25 12:56:42,2
269,3,53.0,2024-10-25 12:00:33,2024-10-25 12:01:26,1
271,2,28.0,2024-10-25 12:16:34,2024-10-25 12:17:02,2
272,2,69.0,2024-10-25 12:14:13,2024-10-25 12:15:22,2
273,3,20.0,2024-10-25 12:05:00,2024-10-25 12:05:20,1
274,2,38.0,2024-10-25 12:18:05,2024-10-25 12:18:43,2
275,3,16.0,2024-10-25 12:07:39,2024-10-25 12:07:55,1
276,3,19.0,2024-10-25 12:09:57,2024-10-25 12:10:16,2
277,2,30.0,2024-10-25 12:21:55,2024-10-25 12:22:25,1
278,3,14.0,2024-10-25 12:11:45,2024-10-25 12:11:59,1
279,3,2.0,2024-10-25 12:14:28,2024-10-25 12:14:30,2
280,3,12.0,2024-10-25 12:16:30,2024-10-25 12:16:42,2
281,2,65.0,2024-10-25 12:26:59,2024-10-25 12:28:04,2
282,3,32.0,2024-10-25 12:18:13,2024-10-25 12:18:45,2
283,3,30.0,2024-10-25 12:21:16,2024-10-25 12:21:46,1
284,2,67.0,2024-10-25 12:36:53,2024-10-25 12:38:00,1
285,2,52.0,2024-10-25 12:34:03,2024-10-25 12:34:55,1
286,3,8.0,2024-10-25 12:23:14,2024-10-25 12:23:22,1
287,2,60.0,2024-10-25 12:32:16,2024-10-25 12:33:16,1
288,2,64.0,2024-10-25 12:38:31,2024-10-25 12:39:35,2
289,3,27.0,2024-10-25 12:25:17,2024-10-25 12:25:44,1
291,3,20.0,2024-10-25 12:26:49,2024-10-25 12:27:09,2
292,3,28.0,2024-10-25 12:28:52,2024-10-25 12:29:20,1
293,2,64.0,2024-10-25 12:57:09,2024-10-25 12:58:13,2
295,2,20.0,2024-10-25 12:43:39,2024-10-25 12:43:59,2
296,2,11.0,2024-10-25 12:46:51,2024-10-25 12:47:02,1
297,3,10.0,2024-10-25 12:38:26,2024-10-25 12:38:36,2
298,2,33.0,2024-10-25 12:48:16,2024-10-25 12:48:49,2
299,3,17.0,2024-10-25 12:40:10,2024-10-25 12:40:27,1
300,2,27.0,2024-10-25 12:52:21,2024-10-25 12:52:48,2
301,3,18.0,2024-10-25 12:41:55,2024-10-25 12:42:13,1
302,2,19.0,2024-10-25 12:53:44,2024-10-25 12:54:03,3
303,3,13.0,2024-10-25 12:43:52,2024-10-25 12:44:05,2
304,2,663.0,2024-10-25 12:48:56,2024-10-25 12:59:59,9
305,3,16.0,2024-10-25 12:46:10,2024-10-25 12:46:26,1
306,2,37.0,2024-10-25 12:54:58,2024-10-25 12:55:35,2
307,3,33.0,2024-10-25 12:48:37,2024-10-25 12:49:10,3
308,3,43.0,2024-10-25 12:50:50,2024-10-25 12:51:33,2
309,3,43.0,2024-10-25 12:53:25,2024-10-25 12:54:08,3
311,2,69.0,2024-10-25 13:05:09,2024-10-25 13:06:18,1
312,2,76.0,2024-10-25 13:34:00,2024-10-25 13:35:16,3
313,2,35.0,2024-10-25 13:14:45,2024-10-25 13:15:20,1
314,3,34.0,2024-10-25 13:00:56,2024-10-25 13:01:30,1
315,2,101.0,2024-10-25 13:38:35,2024-10-25 13:40:16,1
316,2,19.0,2024-10-25 13:13:36,2024-10-25 13:13:55,2
