way_id,node_id,type,latitude,longitude
4966908,313317874,taxiway,59.6289116,17.9475623
4966938,4171826649,taxiway,59.6437665,17.9191824
4966938,4169586245,taxiway,59.6437473,17.9191848
4966938,4169586237,taxiway,59.6437153,17.9191868
4966938,4169586232,taxiway,59.6436849,17.9191972
4966938,4169586229,taxiway,59.6436575,17.9192086
4966938,4169586225,taxiway,59.6436243,17.9192267
4966938,4169586222,taxiway,59.6435894,17.9192535
4966938,4169586217,taxiway,59.6435585,17.9192834
4966938,4169586213,taxiway,59.6435262,17.9193236
4966938,4169586209,taxiway,59.6434979,17.9193652
4966938,4169586205,taxiway,59.6434742,17.9194057
4966938,4169586202,taxiway,59.6434479,17.9194574
4966938,4169586199,taxiway,59.6434284,17.9195043
4966938,4169586196,taxiway,59.6434074,17.9195683
4966938,4169586193,taxiway,59.64338,17.9196672
4966938,4169586073,taxiway,59.6433055,17.9199492
4966938,4169586056,taxiway,59.6432515,17.9201516
4966938,2357933617,taxiway,59.6431284,17.9206135
4966938,4169586017,taxiway,59.6429584,17.9212613
4966938,4169585999,taxiway,59.642896,17.921499
4966938,4169585995,taxiway,59.6428804,17.9215585
4966938,4169583965,taxiway,59.64256,17.9227792
4966938,4171838126,taxiway,59.6422947,17.92379
4966938,2357933626,taxiway,59.6421199,17.9244562
4966938,4171838096,taxiway,59.6419488,17.925097
4966938,8320477280,taxiway,59.6417748,17.925756
4966938,8320477282,taxiway,59.6415254,17.9267006
4966938,4171860374,taxiway,59.6412855,17.9276194
4966938,4171860362,taxiway,59.6412565,17.9277215
4966938,2357933625,taxiway,59.6410941,17.9283432
4966938,4171860329,taxiway,59.6409134,17.9290262
4966938,4171860311,taxiway,59.6406702,17.9299951
4966938,4171860283,taxiway,59.6403167,17.9312912
4966938,2357933616,taxiway,59.6400468,17.9323121
4966938,4171860258,taxiway,59.640024,17.9324118
4966938,4171860254,taxiway,59.6400041,17.932504
4966938,4165279008,taxiway,59.6399563,17.9327639
4966938,4171860241,taxiway,59.6399266,17.9329757
4966938,32894343,taxiway,59.6399032,17.9331809
4966938,4171860233,taxiway,59.6398943,17.933301
4966938,4171860235,taxiway,59.6398865,17.9334015
4966938,11314051608,taxiway,59.6398796,17.9335346
4966938,4165279006,taxiway,59.6398759,17.9336991
4966938,11314051607,taxiway,59.6398765,17.9339003
4966938,4165279007,taxiway,59.6398827,17.9341019
4966938,11314051606,taxiway,59.6398985,17.9343043
4966938,11314051586,taxiway,59.6399111,17.9344428
4966938,6511974160,taxiway,59.6399278,17.9345834
4966938,32894373,taxiway,59.6399351,17.9346368
4966938,4165279009,taxiway,59.6399902,17.934966
4966938,32894374,taxiway,59.6400959,17.9353845
4966938,6511974163,taxiway,59.6403387,17.9361441
4966938,32894375,taxiway,59.6404675,17.9365613
4966943,32894385,taxiway,59.6484168,17.9528201
4966943,4165354172,taxiway,59.648555,17.952906
4966943,4165354173,taxiway,59.648658,17.9530347
4966943,2052846941,taxiway,59.6487177,17.9531554
4966943,4165354174,taxiway,59.6487665,17.9533137
4966943,2052846991,taxiway,59.6488003,17.9534639
4966943,4165354175,taxiway,59.6488207,17.953657
